Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
294,3098346,2007,D43,Stabbing,1196485200000,127,Bendale (127),43.7754402,-79.2525864,94
295,3654724,2007,D51,Other,1171170000000,77,Waterfront Communities-The Island (77),43.64394,-79.3689957,95
296,2586541,2008,D54,Stabbing,1199163600000,54,O'Connor-Parkview (54),43.7089462,-79.317009,96
297,2601995,2008,D51,Shooting,1200114000000,75,Church-Yonge Corridor (75),43.6693687,-79.3864212,97
298,2532076,2008,D55,Shooting,1200546000000,70,South Riverdale (70),43.666153,-79.3494568,98
299,2605959,2008,D31,Shooting,1200978000000,26,Downsview-Roding-CFB (26),43.7248955,-79.5096054,99
300,2520381,2008,D43,Shooting,1201842000000,138,Eglinton East (138),43.7447929,-79.2447205,100
101,1148137,2005,D52,Shooting,1122782400000,75,Church-Yonge Corridor (75),43.6574173,-79.3813705,101
801,GO-2016851941,2016,D51,Other,1463544000000,75,Church-Yonge Corridor (75),43.6673737,-79.3816376,102
802,GO-2016656231,2016,D12,Other,1460865600000,113,Weston (113),43.705143,-79.5294037,103
803,GO-2016965196,2016,D31,Shooting,1464926400000,22,Humbermede (22),43.7427292,-79.5403366,104
804,GO-2016989870,2016,D53,Shooting,1465272000000,104,Mount Pleasant West (104),43.7045708,-79.3967972,105
805,GO-20161148938,2016,D14,Shooting,1467345600000,78,Kensington-Chinatown (78),43.6572113,-79.4040756,106
806,GO-20161148938,2016,D14,Shooting,1467345600000,78,Kensington-Chinatown (78),43.6572113,-79.4040756,107
807,GO-20161116247,2016,D11,Other,1467518400000,84,Little Portugal (84),43.6491318,-79.4379425,108
808,GO-20161229465,2016,D31,Shooting,1468382400000,26,Downsview-Roding-CFB (26),43.7378082,-79.520134,109
809,GO-20161263080,2016,D51,Other,1468814400000,75,Church-Yonge Corridor (75),43.6504669,-79.3719101,110
810,GO-20161329227,2016,D41,Shooting,1469678400000,127,Bendale (127),43.7529755,-79.2580719,111
811,GO-20161335085,2016,D51,Stabbing,1469764800000,75,Church-Yonge Corridor (75),43.6694145,-79.3824921,112
812,GO-20161403032,2016,D55,Other,1470715200000,69,Blake-Jones (69),43.6771507,-79.334877,113
