id,lat,long,occurrencedate,reporteddate,premisetype,offence,MCI,division,neighbourhood
18017,43.7633629,-79.5008621,2019-06-29,2019-06-29,Commercial,Aggravated Assault,Assault,D31,York University Heights (27)
18018,43.7410774,-79.5034027,2019-06-29,2019-06-29,Outside,Assault,Assault,D31,Glenfield-Jane Heights (25)
18019,43.7410774,-79.5034027,2019-06-29,2019-06-29,Outside,Assault,Assault,D31,Glenfield-Jane Heights (25)
18020,43.6844444,-79.4456711,2019-06-29,2019-06-29,Apartment,Assault,Assault,D13,Corso Italia-Davenport (92)
18021,43.6573067,-79.3734589,2019-06-29,2019-06-29,Outside,Robbery - Other,Robbery,D51,Moss Park (73)
18022,43.6305237,-79.5655823,2019-06-29,2019-07-02,Commercial,B&E,Break and Enter,D22,Markland Wood (12)
18023,43.7247276,-79.3026428,2019-06-29,2019-06-29,Outside,Assault Peace Officer,Assault,D41,Victoria Village (43)
18024,43.6702271,-79.3867874,2019-06-29,2019-06-29,Other,Assault With Weapon,Assault,D51,Church-Yonge Corridor (75)
18025,43.6702271,-79.3867874,2019-06-29,2019-06-29,Other,Assault - Resist/ Prevent Seiz,Assault,D51,Church-Yonge Corridor (75)
18026,43.8017273,-79.2103729,2019-06-29,2019-06-29,Outside,Aggravated Assault,Assault,D42,Malvern (132)
18027,43.6403046,-79.3983765,2019-06-29,2019-07-10,Apartment,Assault,Assault,D14,Waterfront Communities-The Island (77)
18028,43.7573395,-79.4098816,2019-06-29,2019-06-30,Outside,Theft Of Motor Vehicle,Auto Theft,D32,Willowdale East (51)
18029,43.6917953,-79.3154373,2019-06-29,2019-06-30,House,B&E,Break and Enter,D54,Danforth East York (59)
18030,43.6561661,-79.3701248,2019-06-29,2019-07-01,Apartment,Assault,Assault,D51,Moss Park (73)
18031,43.7246208,-79.4910812,2019-06-29,2019-06-30,Other,Assault Peace Officer,Assault,D31,Downsview-Roding-CFB (26)
18032,43.7246208,-79.4910812,2019-06-29,2019-06-30,Other,Assault - Resist/ Prevent Seiz,Assault,D31,Downsview-Roding-CFB (26)
18033,43.6582146,-79.3778534,2019-06-29,2019-07-18,Commercial,B&E,Break and Enter,D51,Church-Yonge Corridor (75)
18034,43.7366791,-79.2372894,2019-06-29,2019-06-30,Apartment,B&E W'Intent,Break and Enter,D43,Eglinton East (138)
18035,43.6553535,-79.4570465,2019-06-29,2019-07-02,Commercial,B&E,Break and Enter,D11,High Park North (88)
18036,43.6598854,-79.4353638,2019-06-29,2019-06-30,Commercial,Theft Over,Theft Over,D14,Dovercourt-Wallace Emerson-Junction (93)
18037,43.6651688,-79.3403473,2019-06-29,2019-06-30,House,B&E,Break and Enter,D55,South Riverdale (70)
18038,43.6169968,-79.5188446,2019-06-29,2019-07-02,Commercial,B&E,Break and Enter,D22,Mimico (includes Humber Bay Shores) (17)
18039,43.6707535,-79.3930817,2019-06-29,2019-07-02,Commercial,Administering Noxious Thing,Assault,D53,Annex (95)
18040,43.7089996,-79.4438095,2019-06-29,2019-07-23,Apartment,Assault,Assault,D13,Yorkdale-Glen Park (31)
18041,43.7156143,-79.3280869,2019-06-29,2019-07-02,Outside,Assault With Weapon,Assault,D54,Flemingdon Park (44)
18042,43.7156143,-79.3280869,2019-06-29,2019-07-02,Outside,Assault With Weapon,Assault,D54,Flemingdon Park (44)
18043,43.7156143,-79.3280869,2019-06-29,2019-07-02,Outside,Assault With Weapon,Assault,D54,Flemingdon Park (44)
18044,43.7156143,-79.3280869,2019-06-29,2019-07-02,Outside,Assault,Assault,D54,Flemingdon Park (44)
18045,43.6887054,-79.4617767,2019-06-29,2019-06-29,House,Assault With Weapon,Assault,D13,Caledonia-Fairbank (109)
18046,43.6887054,-79.4617767,2019-06-29,2019-06-29,House,Assault With Weapon,Assault,D13,Caledonia-Fairbank (109)
